Timestamp,Shift,Analyst_ID,Urea_Biuret_Pct,Urea_Moisture_Pct,Urea_Prill_Size_Pct,Ammonia_Purity_Pct,Boiler_Water_pH
2025-01-09,Night,AN-04,0.799,0.257,93.98,99.785,9.04
2025-01-10,Morning,AN-03,0.653,0.22,92.7,99.654,8.72
2025-01-10,Evening,AN-01,0.816,0.277,92.98,99.625,8.78
2025-01-10,Night,AN-03,0.685,0.247,93.44,99.506,8.79
2025-01-11,Morning,AN-04,0.637,0.219,91.48,99.798,9.01
2025-01-11,Evening,AN-01,0.739,0.167,92.99,99.733,9.13
2025-01-11,Night,AN-01,0.788,0.218,91.72,99.549,8.89
2025-01-12,Morning,AN-03,0.819,0.253,92.8,99.764,8.73
2025-01-12,Evening,AN-03,0.835,0.222,95.33,99.807,8.76
2025-01-12,Night,AN-04,0.861,0.173,92.43,99.627,9.05
2025-01-13,Morning,AN-02,0.796,0.254,95.5,99.765,8.92
2025-01-13,Evening,AN-02,0.811,0.277,92.08,99.609,7.69
2025-01-13,Night,AN-01,0.717,0.222,91.62,99.667,9.39
2025-01-14,Morning,AN-04,0.76,0.256,93.18,99.663,8.68
2025-01-14,Evening,AN-01,0.588,0.226,92.11,99.785,8.8
2025-01-14,Night,AN-03,0.741,0.216,91.83,99.663,9.04
2025-01-15,Morning,AN-03,0.775,0.172,95.49,99.827,9.09
2025-01-15,Evening,AN-02,0.882,0.223,92.25,99.632,8.93
2025-01-15,Night,AN-02,0.786,0.243,91.55,99.694,8.19
2025-01-16,Morning,AN-01,0.668,0.207,93.79,99.7,9.19
2025-01-16,Evening,AN-01,0.734,0.222,94.86,99.713,8.53
2025-01-16,Night,AN-03,0.852,0.234,94.48,99.814,9.11
2025-01-17,Morning,AN-01,0.772,0.201,93.06,99.651,8.85
2025-01-17,Evening,AN-04,0.818,0.236,93.11,99.691,8.87
2025-01-17,Night,AN-01,0.794,0.199,89.75,99.578,8.83
2025-01-18,Morning,AN-01,0.843,0.243,91.17,99.614,9.2
2025-01-18,Evening,AN-03,0.854,0.221,94.93,99.669,9.08
2025-01-18,Night,AN-01,0.74,0.194,93.47,99.72,8.8
2025-01-19,Morning,AN-03,0.812,0.24,92.03,99.699,8.48
2025-01-19,Evening,AN-04,0.892,0.247,94.54,99.706,9.02
2025-01-19,Night,AN-02,0.712,0.227,90.46,99.559,8.82
2025-01-20,Morning,AN-02,0.733,0.189,95.25,99.628,8.53
2025-01-20,Evening,AN-01,0.695,0.219,96.17,99.777,9.12
2025-01-20,Night,AN-01,0.757,0.222,91.73,99.836,8.93
2025-01-21,Morning,AN-02,0.768,0.22,93.71,99.623,9.01
2025-01-21,Evening,AN-04,0.79,0.193,96.7,99.737,9.05
2025-01-21,Night,AN-02,0.741,0.249,90.45,99.778,8.96
2025-01-22,Morning,AN-01,0.642,0.196,90.69,99.668,8.58
2025-01-22,Evening,AN-02,0.826,0.203,91.61,99.749,8.67
2025-01-22,Night,AN-03,0.897,0.183,93.9,99.84,8.89
2025-01-23,Morning,AN-03,0.774,0.187,94.22,99.691,9.07
2025-01-23,Evening,AN-03,0.772,0.227,92.48,99.864,9.06
2025-01-23,Night,AN-01,0.714,0.239,91.26,99.686,9.03
2025-01-24,Morning,AN-04,0.791,0.116,92.94,99.648,9.22
2025-01-24,Evening,AN-02,0.832,0.225,91.36,99.673,9.37
2025-01-24,Night,AN-03,0.82,0.226,93.6,99.861,9.32
2025-01-25,Morning,AN-01,0.728,0.242,96.65,99.707,9.41
2025-01-25,Evening,AN-01,0.64,0.214,96.48,99.746,9.15
2025-01-25,Night,AN-03,0.75,0.232,95.86,99.556,8.97
2025-01-26,Morning,AN-01,0.744,0.167,96.65,99.609,9.14
2025-01-26,Evening,AN-01,0.745,0.249,91.43,99.75,8.87
2025-01-26,Night,AN-02,0.687,0.27,98.5,99.779,8.93
2025-01-27,Morning,AN-01,0.742,0.221,94.58,99.82,9.21
2025-01-27,Evening,AN-02,0.7,0.221,94.16,99.696,9.01
2025-01-27,Night,AN-02,0.882,0.213,94.71,99.731,9.77
2025-01-28,Morning,AN-03,0.84,0.185,90.02,99.729,8.88
2025-01-28,Evening,AN-03,0.665,0.2,91.88,99.665,9.05
2025-01-28,Night,AN-04,0.823,0.211,98.06,99.856,9.14
2025-01-29,Morning,AN-01,0.667,0.214,91.66,99.562,9.23
2025-01-29,Evening,AN-02,0.903,0.235,93.09,99.679,8.43
2025-01-29,Night,AN-02,0.684,0.204,88.24,99.768,9.1
2025-01-30,Morning,AN-03,0.743,0.22,94.45,99.782,9.14
2025-01-30,Evening,AN-01,0.616,0.236,92.11,99.757,8.81
2025-01-30,Night,AN-03,0.606,0.275,94.06,99.679,9.03
2025-01-31,Morning,AN-01,0.973,0.172,93.19,99.659,8.85
2025-01-31,Evening,AN-01,0.811,0.218,91.35,99.829,9.12
2025-01-31,Night,AN-01,0.78,0.202,93.68,99.684,9.29
2025-02-01,Morning,AN-02,0.77,0.243,94.84,99.656,9.11
2025-02-01,Evening,AN-03,0.573,0.231,92.93,99.795,8.94
2025-02-01,Night,AN-03,0.854,0.241,98.14,99.9,8.61
2025-02-02,Morning,AN-03,0.816,0.154,93.99,99.777,8.63
2025-02-02,Evening,AN-01,0.842,0.22,95.71,99.748,8.2
2025-02-02,Night,AN-03,0.663,0.195,96.67,99.74,8.91
2025-02-03,Morning,AN-01,0.816,0.197,88.89,99.706,9.63
2025-02-03,Evening,AN-01,0.811,0.192,95.33,99.836,9.1
2025-02-03,Night,AN-02,0.9,0.185,92.07,99.532,8.85
2025-02-04,Morning,AN-04,0.764,0.299,93.07,99.705,9.45
2025-02-04,Evening,AN-02,0.797,0.256,94.91,99.637,8.95
2025-02-04,Night,AN-01,0.671,0.216,93.62,99.809,8.58
2025-02-05,Morning,AN-02,0.872,0.238,92.18,99.608,9.06
2025-02-05,Evening,AN-03,0.732,0.239,96.17,99.618,8.62
2025-02-05,Night,AN-02,0.729,0.234,90.29,99.804,8.83
2025-02-06,Morning,AN-03,0.728,0.187,98.9,99.706,9.0
2025-02-06,Evening,AN-03,0.748,0.207,89.04,99.557,9.37
2025-02-06,Night,AN-01,0.861,0.14,89.14,99.576,8.71
2025-02-07,Morning,AN-01,0.766,0.223,93.11,99.751,8.93
2025-02-07,Evening,AN-03,0.825,0.258,95.02,99.587,8.87
2025-02-07,Night,AN-04,0.789,0.246,94.81,99.701,9.02
2025-02-08,Morning,AN-03,0.882,0.19,92.12,99.606,8.58
2025-02-08,Evening,AN-04,0.891,0.175,95.89,99.654,9.27
2025-02-08,Night,AN-04,0.648,0.273,89.13,99.87,9.05
2025-02-09,Morning,AN-02,0.742,0.225,91.45,99.698,9.08
2025-02-09,Evening,AN-03,0.922,0.24,92.19,99.658,8.68
2025-02-09,Night,AN-01,0.758,0.224,96.26,99.699,9.34
2025-02-10,Morning,AN-01,0.832,0.234,94.04,99.798,9.42
2025-02-10,Evening,AN-02,0.831,0.21,95.9,99.658,9.36
2025-02-10,Night,AN-01,0.722,0.226,90.49,99.758,8.62
2025-02-11,Morning,AN-02,0.686,0.242,96.65,99.687,9.14
2025-02-11,Evening,AN-02,0.681,0.241,92.29,99.712,9.64
2025-02-11,Night,AN-04,0.742,0.156,92.76,99.595,8.55
2025-02-12,Morning,AN-03,0.625,0.208,94.55,99.753,8.73
2025-02-12,Evening,AN-04,0.824,0.25,92.25,99.722,9.49
2025-02-12,Night,AN-01,0.78,0.238,94.68,99.808,9.21
2025-02-13,Morning,AN-04,0.787,0.261,95.66,99.714,8.9
2025-02-13,Evening,AN-02,0.815,0.224,94.44,99.679,9.28
2025-02-13,Night,AN-01,0.744,0.286,94.21,99.573,9.35
2025-02-14,Morning,AN-01,0.768,0.206,96.14,99.611,8.95
2025-02-14,Evening,AN-02,0.715,0.257,95.26,99.435,9.18
2025-02-14,Night,AN-04,0.807,0.221,96.07,99.632,8.87
2025-02-15,Morning,AN-01,0.551,0.2,90.31,99.673,8.83
2025-02-15,Evening,AN-01,0.716,0.212,90.68,99.608,8.75
2025-02-15,Night,AN-03,0.689,0.213,91.65,99.635,9.2
2025-02-16,Morning,AN-02,0.935,0.2,95.95,99.862,8.61
2025-02-16,Evening,AN-04,0.756,0.234,94.57,99.575,9.14
2025-02-16,Night,AN-03,0.864,0.203,91.75,99.747,8.86
2025-02-17,Morning,AN-03,0.801,0.216,95.86,99.551,8.82
2025-02-17,Evening,AN-01,0.793,0.253,91.71,99.71,8.56
2025-02-17,Night,AN-04,0.649,0.221,92.17,99.791,9.01
2025-02-18,Morning,AN-03,0.805,0.275,94.73,99.664,9.15
2025-02-18,Evening,AN-01,0.839,0.206,91.5,99.732,8.84
2025-02-18,Night,AN-03,0.72,0.195,92.05,99.749,9.1
2025-02-19,Morning,AN-01,0.782,0.24,89.53,99.672,8.78
2025-02-19,Evening,AN-02,0.725,0.227,94.02,99.858,8.98
2025-02-19,Night,AN-04,0.772,0.243,94.92,99.752,8.84
2025-02-20,Morning,AN-04,0.721,0.225,89.7,99.797,8.88
2025-02-20,Evening,AN-01,0.76,0.202,97.51,99.81,9.43
2025-02-20,Night,AN-03,0.875,0.218,92.33,99.888,8.64
2025-02-21,Morning,AN-03,0.574,0.204,95.34,99.746,9.14
2025-02-21,Evening,AN-03,0.732,0.186,93.26,99.763,8.69
2025-02-21,Night,AN-01,0.883,0.187,91.04,99.794,9.22
2025-02-22,Morning,AN-02,0.65,0.263,93.33,99.812,9.09
2025-02-22,Evening,AN-02,0.787,0.209,93.55,99.635,9.23
2025-02-22,Night,AN-02,0.85,0.235,91.34,99.695,9.09
2025-02-23,Morning,AN-04,0.689,0.203,92.52,99.567,9.29
2025-02-23,Evening,AN-01,0.714,0.163,92.55,99.458,8.6
2025-02-23,Night,AN-04,0.811,0.248,95.28,99.668,9.01
2025-02-24,Morning,AN-02,0.792,0.273,91.66,99.704,8.93
2025-02-24,Evening,AN-03,0.743,0.239,91.44,99.735,9.03
2025-02-24,Night,AN-03,0.755,0.201,94.97,99.739,9.22
2025-02-25,Morning,AN-03,0.801,0.283,93.07,99.916,9.29
2025-02-25,Evening,AN-03,0.782,0.285,92.72,99.72,8.74
2025-02-25,Night,AN-01,0.708,0.235,89.31,99.616,9.0
2025-02-26,Morning,AN-04,0.729,0.17,94.34,99.765,8.88
2025-02-26,Evening,AN-02,0.876,0.221,96.82,99.795,9.74
2025-02-26,Night,AN-01,0.742,0.273,90.07,99.643,9.2
2025-02-27,Morning,AN-02,0.764,0.257,93.23,99.775,8.82
2025-02-27,Evening,AN-04,0.706,0.2,93.45,99.817,9.14
2025-02-27,Night,AN-04,0.72,0.274,95.36,99.727,8.82
2025-02-28,Morning,AN-02,0.815,0.183,95.83,99.629,8.61
2025-02-28,Evening,AN-04,0.728,0.202,89.4,99.611,9.11
2025-02-28,Night,AN-04,0.87,0.246,92.77,99.665,8.92
2025-03-01,Morning,AN-02,0.916,0.253,93.16,99.858,9.58
2025-03-01,Evening,AN-02,0.754,0.199,93.23,99.597,8.95
2025-03-01,Night,AN-01,0.786,0.194,96.89,99.897,8.95
2025-03-02,Morning,AN-04,0.823,0.23,95.6,99.41,9.52
2025-03-02,Evening,AN-01,0.739,0.222,93.75,99.661,8.89
2025-03-02,Night,AN-04,0.836,0.215,94.65,99.608,8.99
2025-03-03,Morning,AN-01,0.91,0.231,94.56,99.72,8.94
2025-03-03,Evening,AN-02,0.801,0.186,96.93,99.585,7.88
2025-03-03,Night,AN-02,0.69,0.244,92.66,99.674,8.87
2025-03-04,Morning,AN-03,0.615,0.192,95.7,99.757,9.18
2025-03-04,Evening,AN-02,0.801,0.176,91.61,99.566,9.29
2025-03-04,Night,AN-02,0.878,0.195,91.42,99.485,8.84
2025-03-05,Morning,AN-01,0.644,0.184,94.16,99.827,9.17
2025-03-05,Evening,AN-01,0.755,0.254,92.55,99.698,8.71
2025-03-05,Night,AN-04,0.627,0.216,90.07,99.802,8.45
2025-03-06,Morning,AN-04,0.811,0.228,93.72,99.694,8.81
2025-03-06,Evening,AN-02,0.728,0.281,94.08,99.706,9.19
2025-03-06,Night,AN-02,0.871,0.243,92.23,99.541,8.97
2025-03-07,Morning,AN-04,0.737,0.204,94.58,99.795,8.83
2025-03-07,Evening,AN-03,0.748,0.237,93.97,99.836,9.03
2025-03-07,Night,AN-04,0.716,0.227,98.23,99.833,9.11
2025-03-08,Morning,AN-03,0.842,0.211,92.92,99.775,9.19
2025-03-08,Evening,AN-03,0.694,0.233,95.37,99.759,9.17
2025-03-08,Night,AN-03,0.655,0.229,94.83,99.741,8.95
2025-03-09,Morning,AN-01,0.74,0.199,92.15,99.567,9.19
2025-03-09,Evening,AN-01,0.775,0.22,94.37,99.623,8.64
2025-03-09,Night,AN-04,0.597,0.232,96.03,99.768,8.93
2025-03-10,Morning,AN-01,0.703,0.19,92.14,99.578,9.01
2025-03-10,Evening,AN-04,0.688,0.226,92.24,99.763,8.61
2025-03-10,Night,AN-04,0.656,0.183,94.96,99.895,8.93
2025-03-11,Morning,AN-03,0.888,0.259,94.96,99.667,8.7
2025-03-11,Evening,AN-04,0.691,0.257,95.79,99.761,7.53
2025-03-11,Night,AN-04,0.725,0.197,95.16,99.635,9.07
2025-03-12,Morning,AN-01,0.708,0.231,94.56,99.758,8.73
2025-03-12,Evening,AN-02,0.679,0.183,91.99,99.831,9.01
2025-03-12,Night,AN-04,0.781,0.295,93.49,99.784,9.02
2025-03-13,Morning,AN-03,0.742,0.273,94.05,99.664,8.89
2025-03-13,Evening,AN-01,0.655,0.209,91.32,99.831,9.01
2025-03-13,Night,AN-02,0.764,0.161,93.04,99.598,9.08
2025-03-14,Morning,AN-01,0.751,0.181,91.26,99.669,8.85
2025-03-14,Evening,AN-03,0.735,0.217,93.36,99.659,9.08
2025-03-14,Night,AN-03,0.519,0.229,94.09,99.621,9.14
2025-03-15,Morning,AN-02,0.647,0.254,89.27,99.644,8.85
2025-03-15,Evening,AN-03,0.762,0.21,92.21,99.67,8.9
2025-03-15,Night,AN-02,0.764,0.198,91.94,99.641,8.87
2025-03-16,Morning,AN-02,0.666,0.214,93.23,99.799,8.87
2025-03-16,Evening,AN-01,0.656,0.208,91.06,99.677,8.74
2025-03-16,Night,AN-04,0.706,0.232,90.39,99.718,9.0
2025-03-17,Morning,AN-02,0.796,0.22,98.16,99.631,8.89
2025-03-17,Evening,AN-01,0.843,0.194,88.66,99.656,8.78
2025-03-17,Night,AN-04,0.568,0.234,93.85,99.733,8.96
2025-03-18,Morning,AN-04,0.923,0.202,95.06,99.73,9.33
2025-03-18,Evening,AN-03,0.875,0.219,94.04,99.779,9.31
2025-03-18,Night,AN-03,0.686,0.259,91.44,99.567,9.17
2025-03-19,Morning,AN-01,0.843,0.257,88.87,99.62,8.96
2025-03-19,Evening,AN-02,0.83,0.197,90.51,99.85,8.92
2025-03-19,Night,AN-02,0.73,0.249,93.39,99.622,8.91
2025-03-20,Morning,AN-04,0.866,0.274,95.07,99.759,8.79
2025-03-20,Evening,AN-02,0.779,0.195,93.92,99.786,8.47
2025-03-20,Night,AN-01,0.732,0.212,94.15,99.782,9.22
2025-03-21,Morning,AN-02,0.703,0.229,90.02,99.576,9.15
2025-03-21,Evening,AN-01,0.821,0.242,91.32,99.75,9.08
2025-03-21,Night,AN-03,0.752,0.204,94.16,99.64,9.07
2025-03-22,Morning,AN-03,0.849,0.221,94.15,99.87,9.06
2025-03-22,Evening,AN-04,0.958,0.25,93.93,99.581,8.94
2025-03-22,Night,AN-03,0.816,0.192,96.2,99.658,9.07
2025-03-23,Morning,AN-02,0.638,0.266,95.48,99.769,8.45
2025-03-23,Evening,AN-04,0.687,0.239,93.25,99.742,8.78
2025-03-23,Night,AN-02,0.715,0.188,93.51,99.856,8.69
2025-03-24,Morning,AN-03,0.614,0.264,97.03,99.625,9.29
2025-03-24,Evening,AN-04,0.704,0.221,95.76,99.646,9.08
2025-03-24,Night,AN-02,0.915,0.256,95.65,99.759,9.19
2025-03-25,Morning,AN-01,0.706,0.234,91.78,99.755,8.88
2025-03-25,Evening,AN-03,0.715,0.193,91.73,99.686,9.12
2025-03-25,Night,AN-03,0.641,0.193,95.72,99.746,8.73
2025-03-26,Morning,AN-01,0.732,0.191,92.72,99.809,9.47
2025-03-26,Evening,AN-03,0.873,0.242,97.02,99.868,9.18
2025-03-26,Night,AN-02,0.833,0.214,92.73,99.74,8.95
2025-03-27,Morning,AN-01,0.861,0.205,93.8,99.673,8.75
2025-03-27,Evening,AN-02,0.742,0.214,91.66,99.617,8.94
2025-03-27,Night,AN-03,0.779,0.255,93.0,99.628,8.88
2025-03-28,Morning,AN-03,0.758,0.186,89.8,99.597,9.06
2025-03-28,Evening,AN-01,0.757,0.255,92.71,99.754,9.31
2025-03-28,Night,AN-01,0.814,0.182,94.12,99.564,9.12
2025-03-29,Morning,AN-04,0.747,0.202,96.92,99.726,8.85
2025-03-29,Evening,AN-01,0.726,0.225,94.3,99.881,8.98
2025-03-29,Night,AN-03,0.684,0.232,91.64,99.68,8.96
2025-03-30,Morning,AN-03,0.8,0.282,93.54,99.627,8.95
2025-03-30,Evening,AN-04,0.86,0.156,93.42,99.713,9.27
2025-03-30,Night,AN-03,0.634,0.223,92.74,99.751,9.08
2025-03-31,Morning,AN-03,0.747,0.193,93.74,99.572,8.77
2025-03-31,Evening,AN-04,0.774,0.197,92.6,99.815,9.03
2025-03-31,Night,AN-02,0.635,0.196,95.46,99.805,8.65
2025-04-01,Morning,AN-02,0.652,0.224,95.56,99.766,9.21
2025-04-01,Evening,AN-04,0.716,0.221,90.81,99.657,9.02
2025-04-01,Night,AN-03,0.674,0.233,97.83,99.593,9.01
2025-04-02,Morning,AN-02,0.863,0.188,93.41,99.608,8.09
2025-04-02,Evening,AN-02,0.655,0.212,93.57,99.673,9.45
2025-04-02,Night,AN-02,0.768,0.229,93.34,99.574,8.75
2025-04-03,Morning,AN-03,0.669,0.254,96.27,99.688,8.47
2025-04-03,Evening,AN-01,0.701,0.222,95.69,99.654,8.92
2025-04-03,Night,AN-02,0.705,0.208,92.11,99.497,9.19
2025-04-04,Morning,AN-01,0.851,0.244,94.8,99.652,9.17
2025-04-04,Evening,AN-04,0.656,0.256,92.52,99.72,9.07
2025-04-04,Night,AN-01,0.729,0.246,92.71,99.64,8.7
2025-04-05,Morning,AN-03,0.832,0.18,95.02,99.767,8.7
2025-04-05,Evening,AN-03,0.817,0.173,90.5,99.643,8.67
2025-04-05,Night,AN-03,0.707,0.217,94.2,99.719,9.18
2025-04-06,Morning,AN-01,0.715,0.236,95.36,99.8,9.51
2025-04-06,Evening,AN-04,0.803,0.208,94.21,99.635,8.77
2025-04-06,Night,AN-03,0.757,0.169,94.61,99.775,8.78
2025-04-07,Morning,AN-04,0.826,0.271,93.28,99.683,9.02
2025-04-07,Evening,AN-03,0.843,0.218,90.3,99.718,9.43
2025-04-07,Night,AN-02,0.802,0.301,89.7,99.631,9.37
2025-04-08,Morning,AN-03,0.722,0.21,92.75,99.692,9.16
2025-04-08,Evening,AN-02,0.756,0.172,92.98,99.616,9.54
2025-04-08,Night,AN-02,0.736,0.231,93.46,99.638,8.61
2025-04-09,Morning,AN-04,0.715,0.154,93.04,99.493,9.11
2025-04-09,Evening,AN-03,0.651,0.249,98.46,99.73,9.07
2025-04-09,Night,AN-01,0.776,0.26,89.56,99.712,8.96
2025-04-10,Morning,AN-04,0.804,0.224,96.29,99.72,9.25
2025-04-10,Evening,AN-04,0.718,0.2,90.61,99.514,9.21
2025-04-10,Night,AN-02,0.735,0.184,95.66,99.769,9.1
2025-04-11,Morning,AN-04,0.879,0.247,92.94,99.611,8.46
2025-04-11,Evening,AN-02,0.692,0.248,93.74,99.533,8.78
2025-04-11,Night,AN-04,0.848,0.255,95.97,99.527,9.05
2025-04-12,Morning,AN-02,0.811,0.26,95.1,99.828,7.83
2025-04-12,Evening,AN-01,0.747,0.214,93.23,99.512,8.86
2025-04-12,Night,AN-01,0.757,0.215,90.38,99.805,8.92
2025-04-13,Morning,AN-03,0.674,0.187,92.94,99.843,9.13
2025-04-13,Evening,AN-04,0.789,0.209,93.99,99.673,8.98
2025-04-13,Night,AN-01,0.663,0.208,91.18,99.679,8.92
2025-04-14,Morning,AN-04,0.812,0.15,94.2,99.744,9.33
2025-04-14,Evening,AN-03,0.62,0.258,97.47,99.654,8.99
2025-04-14,Night,AN-03,0.658,0.187,93.71,99.689,8.96
2025-04-15,Morning,AN-04,0.729,0.268,94.68,99.67,9.17
2025-04-15,Evening,AN-04,0.723,0.194,93.7,99.592,9.08
2025-04-15,Night,AN-03,0.792,0.159,93.88,99.582,9.39
2025-04-16,Morning,AN-03,0.77,0.252,92.52,99.614,9.14
2025-04-16,Evening,AN-03,0.592,0.242,91.25,99.724,9.52
2025-04-16,Night,AN-03,0.676,0.241,95.3,99.595,8.7
2025-04-17,Morning,AN-01,0.714,0.182,93.44,99.643,8.62
2025-04-17,Evening,AN-03,0.769,0.169,95.9,99.645,8.99
2025-04-17,Night,AN-04,0.772,0.21,94.81,99.663,9.09
2025-04-18,Morning,AN-03,0.748,0.162,93.33,100.0,8.69
2025-04-18,Evening,AN-04,0.769,0.147,99.2,99.673,9.3
2025-04-18,Night,AN-03,0.723,0.217,96.42,99.598,8.8
2025-04-19,Morning,AN-03,0.797,0.132,94.88,99.719,9.0
2025-04-19,Evening,AN-01,0.719,0.222,95.77,99.843,9.33
2025-04-19,Night,AN-04,0.678,0.199,92.38,99.786,9.13
2025-04-20,Morning,AN-02,0.807,0.225,93.81,99.638,9.08
2025-04-20,Evening,AN-01,0.737,0.198,92.08,99.686,8.8
2025-04-20,Night,AN-02,0.725,0.199,94.21,99.653,9.16
2025-04-21,Morning,AN-02,0.737,0.199,91.4,99.624,9.22
2025-04-21,Evening,AN-03,0.7,0.255,94.09,99.552,9.06
2025-04-21,Night,AN-04,0.859,0.181,87.16,99.718,9.45
2025-04-22,Morning,AN-02,0.849,0.144,97.28,99.623,8.74
2025-04-22,Evening,AN-02,0.658,0.222,91.95,99.789,8.54
2025-04-22,Night,AN-01,0.748,0.191,95.47,99.613,8.95
2025-04-23,Morning,AN-03,0.724,0.225,95.23,99.613,8.84
2025-04-23,Evening,AN-03,0.726,0.252,93.9,99.786,9.04
2025-04-23,Night,AN-02,0.732,0.243,93.36,99.898,9.39
2025-04-24,Morning,AN-03,0.644,0.208,92.22,99.683,9.05
2025-04-24,Evening,AN-01,0.757,0.226,92.2,99.668,9.15
2025-04-24,Night,AN-04,0.846,0.147,93.44,99.693,9.28
2025-04-25,Morning,AN-03,0.638,0.178,96.09,99.668,8.9
2025-04-25,Evening,AN-01,0.789,0.245,96.24,99.765,9.19
2025-04-25,Night,AN-02,0.78,0.193,91.67,99.813,8.7
2025-04-26,Morning,AN-02,0.881,0.196,93.82,99.711,8.92
2025-04-26,Evening,AN-01,0.61,0.224,90.3,99.587,8.95
2025-04-26,Night,AN-02,0.539,0.212,94.43,99.762,9.09
2025-04-27,Morning,AN-01,0.656,0.253,95.0,99.772,9.11
2025-04-27,Evening,AN-04,0.752,0.214,92.05,99.587,8.88
2025-04-27,Night,AN-03,0.828,0.198,88.96,99.726,9.25
2025-04-28,Morning,AN-01,0.642,0.236,97.58,99.737,9.29
2025-04-28,Evening,AN-02,0.622,0.195,93.28,99.536,8.96
2025-04-28,Night,AN-01,0.883,0.284,94.41,99.784,9.5
2025-04-29,Morning,AN-01,0.697,0.202,94.21,99.601,9.1
2025-04-29,Evening,AN-03,0.863,0.247,93.63,99.744,8.74
2025-04-29,Night,AN-01,0.731,0.234,95.57,99.692,8.92
2025-04-30,Morning,AN-02,0.762,0.173,93.47,99.69,8.86
2025-04-30,Evening,AN-02,0.75,0.171,92.39,99.722,9.21
2025-04-30,Night,AN-01,0.701,0.215,90.74,99.809,9.05
2025-05-01,Morning,AN-02,0.716,0.238,90.14,99.746,9.51
2025-05-01,Evening,AN-04,0.641,0.236,95.09,99.836,8.75
2025-05-01,Night,AN-04,0.743,0.183,91.48,99.783,9.35
2025-05-02,Morning,AN-04,0.844,0.237,94.38,99.814,9.09
2025-05-02,Evening,AN-01,0.65,0.238,95.35,99.655,8.88
2025-05-02,Night,AN-03,0.771,0.247,93.04,99.699,9.15
2025-05-03,Morning,AN-02,0.642,0.172,94.02,99.715,9.03
2025-05-03,Evening,AN-02,0.797,0.165,96.88,99.62,9.19
2025-05-03,Night,AN-02,0.717,0.241,93.72,99.758,9.49
2025-05-04,Morning,AN-01,0.625,0.215,93.86,99.788,8.96
2025-05-04,Evening,AN-03,0.863,0.208,92.74,99.353,9.1
2025-05-04,Night,AN-03,0.644,0.207,93.68,99.562,9.35
2025-05-05,Morning,AN-02,0.542,0.226,94.42,99.74,9.31
2025-05-05,Evening,AN-01,0.664,0.222,96.25,99.64,8.99
2025-05-05,Night,AN-03,0.805,0.143,91.96,99.598,8.74
2025-05-06,Morning,AN-01,0.69,0.202,91.47,99.781,9.33
2025-05-06,Evening,AN-03,0.612,0.2,96.01,99.602,8.88
2025-05-06,Night,AN-03,0.787,0.241,91.92,99.583,9.04
2025-05-07,Morning,AN-01,0.894,0.231,94.51,99.643,9.14
2025-05-07,Evening,AN-01,0.758,0.234,93.19,99.608,9.08
2025-05-07,Night,AN-03,0.91,0.313,94.77,99.682,9.13
2025-05-08,Morning,AN-01,0.821,0.212,93.96,99.68,8.98
2025-05-08,Evening,AN-03,0.646,0.183,95.72,99.794,9.16
2025-05-08,Night,AN-03,0.757,0.259,86.39,99.779,8.94
2025-05-09,Morning,AN-01,0.629,0.209,95.37,99.758,9.13
2025-05-09,Evening,AN-03,0.754,0.215,89.41,99.742,8.92
2025-05-09,Night,AN-03,0.661,0.19,94.29,99.781,8.84
